Readings at 24V,,,,,,,,,,,,,,,,,readings at 12V,,,,,,,,,,
time,Raw current,average current,,time,Raw current,average current,,time,Raw current,average current,,final_avg,,,,,time,Raw current,average current,,time,Raw current,average current,,time,Raw current,average current
2.001339063,224.7,172,,2.001563342,172,251,,2.001332411,251,224.7,,215.9,,,,,2.004226349,251,251,,2.00458763,198.3,264.15,,2.004115538,224.7,185.15
2.003990912,172,185.15,,2.004163117,251,264.15,,2.003911834,145.7,237.85,,229.05,,,,,2.007199193,198.3,251,,2.007280365,277.3,251,,2.006508885,119.4,215.8666667
2.006380205,251,207.1,,2.007025076,198.3,259.7666667,,2.006348702,251,215.9,,227.5888889,,,,,2.010136333,277.3,257.575,,2.01010421,145.7,237.825,,2.009639174,277.3,218.075
2.009547479,224.7,198.325,,2.009995221,251,237.825,,2.008655959,172,204.925,,213.6916667,,,,,2.012336642,198.3,261.52,,2.012711148,277.3,240.46,,2.012440501,329.9,214.12
2.011825587,198.3,198.32,,2.01220307,198.3,240.46,,2.010873698,198.3,203.6,,214.1266667,,,,,2.014853543,224.7,259.7666667,,2.01586627,277.3,233.4333333,,2.015424272,224.7,224.65
2.014166343,251,211.4833333,,2.015174604,145.7,233.4333333,,2.014059194,224.7,202.7166667,,215.8777778,,,,,2.017354277,277.3,258.5142857,,2.018496504,251,239.7,,2.018027692,251,228.4142857
2.016788469,251,205.8428571,,2.017908768,251,232.1857143,,2.01671384,224.7,205.8571429,,214.6285714,,,,,2.019575012,251,264.15,,2.02073448,224.7,241.1125,,2.020806649,172,234.525
2.019227337,198.3,211.4875,,2.020335932,303.6,231.25,,2.019256134,198.3,204.9125,,215.8833333,,,,,2.022213857,251,259.7666667,,2.023138826,172,239.2888889,,2.023545587,251,233.4333333
2.022119203,145.7,210.0222222,,2.022573985,303.6,236.3666667,,2.022458741,224.7,207.1111111,,217.8333333,,,,,2.02493572,172,250.99,,2.025854024,251,235.19,,2.026310618,303.6,235.19
2.025831495,277.3,206.22,,2.024716001,251,237.83,,2.026988774,172,206.23,,216.76,,,,,2.027609269,251,243.8090909,,2.028349999,172,236.6272727,,2.029850518,172,236.6272727
2.030581563,172,207.9,,2.026929646,277.3,241.4181818,,2.031054492,198.3,203.1181818,,217.4787879,,,,,2.030321095,224.7,248.7916667,,2.030797086,277.3,231.2416667,,2.032377104,224.7,237.825
2.034792965,198.3,211.4916667,,2.029350218,277.3,242.2166667,,2.033643267,303.6,207.1083333,,220.2722222,,,,,2.032741403,277.3,242.8846154,,2.033126543,172,232.7615385,,2.034939839,251,238.8384615
2.037507629,198.3,212.5076923,,2.03163666,251,236.8153846,,2.036105228,224.7,204.4076923,,217.9102564,,,,,2.035532655,277.3,237.8214286,,2.035363186,198.3,226.5428571,,2.037414797,224.7,237.8285714
2.039888033,277.3,213.3785714,,2.034263934,251,232.1857143,,2.039893705,172,205.8571429,,217.1404762,,,,,2.038010445,172,238.7,,2.037663699,224.7,224.66,,2.039637144,172,233.44
2.043218881,277.3,214.1333333,,2.036714413,224.7,229.9266667,,2.042246036,172,207.1133333,,217.0577778,,,,,2.040420957,251,236.175,,2.040013619,172,223.0125,,2.041862343,172,227.95625
2.045822229,224.7,213.14375,,2.038996874,251,229.6,,2.044539145,198.3,206.5625,,216.4354167,,,,,2.045538184,224.7,233.9470588,,2.044836589,224.7,226.2058824,,2.04694959,303.6,224.6647059
2.051393463,145.7,216.9176471,,2.04332698,277.3,230.8588235,,2.04949464,277.3,209.1764706,,218.9843137,,,,,2.047833067,277.3,236.3555556,,2.047354083,251,226.1222222,,2.049335048,198.3,224.6666667
