Filename,Custom Classification,Confidence,Species Classification,Latitude,Longitude,Plant Status
20240520_112915947_iOS.jpg,Uncertain classification,NA,Quercus cerris,51.853650,-3.474603,https://eol.org/search?q=Quercus+cerris,
20250201_124557602_iOS.jpg,Uncertain classification,NA,Euonymus fortunei,NA,NA,https://eol.org/search?q=Euonymus+fortunei,
20250201_124607627_iOS.jpg,Wild pansy,0.99,Euonymus japonica,NA,NA,https://eol.org/search?q=Euonymus+japonica,harmfull
20250201_124636752_iOS.jpg,Uncertain classification,NA,Rubus lindleianus,NA,NA,https://eol.org/search?q=Rubus+lindleianus,
20250201_125007000_iOS 2.jpg,Hemlock,0.85,Fagus orientalis,NA,NA,https://eol.org/search?q=Fagus+orientalis,
20250201_133513359_iOS.jpg,Uncertain classification,NA,Quercus cerris,NA,NA,https://eol.org/search?q=Quercus+cerris,
20250201_133517399_iOS.jpg,Hemlock,0.95,Berberis bealei,NA,NA,https://eol.org/search?q=Berberis+bealei,harmfull
20250201_133527384_iOS.jpg,Pale persicaria,0.99,Prunus obtusata,NA,NA,https://eol.org/search?q=Prunus+obtusata,harmfull
20250201_133551450_iOS.jpg,Common orache,0.75,Euonymus alatus,NA,NA,https://eol.org/search?q=Euonymus+alatus,
20250201_133643000_iOS.jpg,Hemlock,0.97,Berberis bealei,NA,NA,https://eol.org/search?q=Berberis+bealei,harmfull
20250202_093142570_iOS.jpg,Cow parsley,0.85,Torilis japonica,NA,NA,https://eol.org/search?q=Torilis+japonica,
20250202_093358021_iOS.jpg,Uncertain classification,NA,Ilex colchica,NA,NA,https://eol.org/search?q=Ilex+colchica,
20250202_100623225_iOS.jpg,Hemlock,1.00,Taxus contorta,NA,NA,https://eol.org/search?q=Taxus+contorta,harmfull
20250202_100636902_iOS.jpg,Wild radish,0.62,Horminum pyrenaicum,NA,NA,https://eol.org/search?q=Horminum+pyrenaicum,
20250202_101310804_iOS.jpg,Uncertain classification,NA,Erythronium caucasicum,NA,NA,https://eol.org/search?q=Erythronium+caucasicum,
20250202_103149355_iOS.jpg,Nipplewort,0.86,Hydrocotyle callicarpa,NA,NA,https://eol.org/search?q=Hydrocotyle+callicarpa,
20250202_103228304_iOS.jpg,Common fumitory,0.97,Epimedium rubrum,NA,NA,https://eol.org/search?q=Epimedium+rubrum,harmfull
20250202_103352125_iOS.jpg,Pea,0.99,Ulex europaeus,NA,NA,https://eol.org/search?q=Ulex+europaeus,harmfull
5449648.jpg,Ragwort,0.86,Tephroseris palustris,NA,NA,https://eol.org/search?q=Tephroseris+palustris,
prairie-ragwort-wildflower-close-up.jpg,Groundsel,0.99,Packera purpurea,NA,NA,https://eol.org/search?q=Packera+purpurea,harmfull
Ragwort-4-285999548.jpg,RAGWORT ***HIGH CONFIDENCE***,1.00,Jacobaea vulgaris,NA,NA,https://eol.org/search?q=Jacobaea+vulgaris,harmfull
